country,Code,year,gdp_change_%,literacy_rate_%,literacy_change_%
Bolivia,BOL,2001,1.684,86.72367,8.415740769331649
Bolivia,BOL,2007,4.564,90.74347,4.635182067364085
Bolivia,BOL,2008,6.148,90.69811,-0.049987067939982754
Bolivia,BOL,2009,3.357,91.16783,0.5178939230376489
Bolivia,BOL,2011,5.204,92.22615,1.1608480754669914
Bolivia,BOL,2012,5.122,94.46057,2.4227618739370627
Bolivia,BOL,2015,4.857,92.45508,-2.123097499835125
Bolivia,BOL,2020,-8.738,93.85256,1.5115232175452187
Bosnia and Herzegovina,BIH,2000,4.442,96.6631,8.53267872988277
Bosnia and Herzegovina,BIH,2011,0.908,98.14204,1.5299943825513473
Bosnia and Herzegovina,BIH,2013,2.351,96.99177,-1.1720461486229516
Bosnia and Herzegovina,BIH,2021,7.39,98.1,1.142602099126555
Botswana,BWA,1991,6.237,68.58091,
Botswana,BWA,2003,5.388,81.18871,18.38383305208402
Botswana,BWA,2013,11.103,86.82318,6.939967392017921
Brazil,BRA,1980,9.19,74.58673,
Brazil,BRA,2000,4.388,86.36788,15.795235962214726
Brazil,BRA,2004,5.76,88.61624,2.6032362957155053
Brazil,BRA,2006,3.962,89.61523,1.1273215834930461
Brazil,BRA,2007,6.07,90.00937,0.4398136343565895
Brazil,BRA,2008,5.094,90.03662,0.030274625852833026
Brazil,BRA,2009,-0.126,90.29821,0.2905373391404398
Brazil,BRA,2010,7.528,90.37918,0.08966955158913326
Brazil,BRA,2011,3.974,91.41124,1.1419222878543467
Brazil,BRA,2012,1.921,91.33785,-0.08028553162608976
Brazil,BRA,2013,3.005,91.48424,0.16027309598374284
Brazil,BRA,2014,0.504,91.72943,0.2680133758557801
Brazil,BRA,2015,-3.546,92.0479,0.3471841043817703
Brazil,BRA,2016,-3.276,92.80844,0.8262437274506151
Brazil,BRA,2017,1.323,93.07582,0.28809879791102944
Brazil,BRA,2018,1.784,93.2275,0.16296391479551087
Brazil,BRA,2021,4.989,94.3,1.1504116274704268
Brunei,BRN,1991,3.146,87.80418,12.952486315775925
Brunei,BRN,2001,2.745,92.67113,5.542959344304577
Brunei,BRN,2011,3.744,96.08556,3.6844592269458687
Brunei,BRN,2018,0.052,97.21411,1.1745261202619872
Brunei,BRN,2021,-1.591,97.59,0.3866619773611024
Bulgaria,BGR,2001,3.824,98.20356,
Bulgaria,BGR,2011,2.101,98.35245,0.15161364822213752
Bulgaria,BGR,2021,7.635,98.42,0.06868156309272067
Burkina Faso,BFA,1991,9.07,13.56923,
Burkina Faso,BFA,1996,11.015,12.84817,-5.313934541606269
Burkina Faso,BFA,2003,7.802,21.82292,69.85236029722522
Burkina Faso,BFA,2005,8.662,23.5222,7.786675660269116
Burkina Faso,BFA,2006,6.253,22.47258,-4.462252680446566
Burkina Faso,BFA,2007,4.111,28.29366,25.903033830561494
Burkina Faso,BFA,2014,4.327,34.5994,22.286759648628006
Burkina Faso,BFA,2018,6.603,39.34585,13.718301473435934
Burkina Faso,BFA,2021,6.905,46.04,17.01361134655879
Burundi,BDI,1990,3.458,37.38472,
Burundi,BDI,2000,1.781,59.30362,58.63063839985963
Burundi,BDI,2008,4.862,48.08406,-18.918845089051906
Burundi,BDI,2014,4.241,61.51349,27.929068385656276
Burundi,BDI,2017,0.5,68.37533,11.155016566284903
Burundi,BDI,2021,3.119,74.71,9.264554920612422
Cambodia,KHM,1998,4.682,67.33503,
Cambodia,KHM,2004,10.341,73.60995,9.318953299642097
Cambodia,KHM,2008,6.692,76.87129,4.4305695086058305
Cambodia,KHM,2009,0.087,76.13796,-0.9539712420592816
Cambodia,KHM,2014,7.143,78.05509,2.5179686978742177
Cambodia,KHM,2015,7.036,80.52649,3.1662252903686294
Cambodia,KHM,2021,3.026,83.91,4.201735354415681
Cameroon,CMR,2000,3.363,68.40916,
Cameroon,CMR,2007,4.1,70.67994,3.3194092720916446
Cameroon,CMR,2010,2.935,71.29051,0.8638518934792394
Cameroon,CMR,2018,4.022,77.07104,8.108414429915012
Cameroon,CMR,2020,0.539,78.23,1.5037554962278987
Cape Verde,CPV,1990,0.692,62.79686,
Cape Verde,CPV,2000,7.267,76.11044,21.20102820427645
Cape Verde,CPV,2012,1.084,85.32779,12.110493645812582
Cape Verde,CPV,2015,0.936,86.79029,1.713978529152116
Cape Verde,CPV,2021,6.415,90.78,4.5969543367121
Central African Republic,CAF,1988,1.718,33.62442,
Central African Republic,CAF,2000,-3.581,50.64517,50.6202040064929
Central African Republic,CAF,2010,4.631,36.75261,-27.431164709290158
Central African Republic,CAF,2018,3.82,37.39582,1.7501069992035934
Central African Republic,CAF,2020,0.959,37.49,0.25184632934911466
Chad,TCD,1993,-2.074,10.89465,
Chad,TCD,2000,-0.88,25.65421,135.47530209781863
Chad,TCD,2004,33.629,28.38143,10.630691804581005
Chad,TCD,2015,1.77,26.00299,-8.38026836561795
Chad,TCD,2016,-5.558,22.31155,-14.19621358928339
Chad,TCD,2021,-1.187,26.76,19.937879708043592
Chile,CHL,1982,-13.588,91.1284,
Chile,CHL,1992,11.167,94.29114,3.47064142462723
Chile,CHL,2002,3.203,95.71662,1.51178573087567
Chile,CHL,2008,3.789,97.72245,2.095592176154981
Chile,CHL,2009,-1.118,97.66423,-0.05957689353878193
Chile,CHL,2011,6.224,96.70301,-0.9842088551765493
Chile,CHL,2013,3.309,96.26706,-0.4508132683770705
Chile,CHL,2015,2.152,96.87413,0.6306103042930777
Chile,CHL,2017,1.358,96.40228,-0.4870753419927376
Chile,CHL,2021,11.737,97.04,0.6615196238097365
China,CHN,1982,9.0,65.50509,
China,CHN,1990,3.888,77.78506,18.746589005526147
China,CHN,2000,8.472,90.92021,16.88646894403629
China,CHN,2010,10.611,95.12448,4.624131422485722
China,CHN,2018,6.751,96.84089,1.8043830568114538
China,CHN,2020,2.242,97.15,0.319193679446772
Colombia,COL,1993,5.71,91.06309,
Colombia,COL,1996,2.056,91.20716,0.15820899554364054
Colombia,COL,2004,5.333,92.80378,1.7505423916280183
Colombia,COL,2005,4.447,92.84866,0.048360099125255296
Colombia,COL,2006,6.717,92.29968,-0.5912632449407429
Colombia,COL,2007,6.738,92.65179,0.38148561295121564
Colombia,COL,2008,3.283,93.37818,0.7839999637351713
Colombia,COL,2009,1.14,93.24469,-0.14295630949328064
Colombia,COL,2010,4.495,93.37233,0.13688715142921026
Colombia,COL,2011,6.948,93.58053,0.22297826347483785
Colombia,COL,2014,4.499,94.18625,0.6472713928848295
Colombia,COL,2015,2.956,94.24505,0.06242949475110393
Colombia,COL,2016,2.087,94.65385,0.4337628342284239
Colombia,COL,2018,2.565,95.09251,0.463435982794147
