country,year,gdp_change_%,lu,lp,lp_%,lpc,lpc_%,ls,lsc,lsc_%,lh,lhc,lhc_%,yr_sch,yr_sch_%,yr_sch_pri,yr_sch_pri_%,yr_sch_sec,yr_sch_sec_%,yr_sch_ter,yr_sch_ter_%,pop,pop_%
Algeria,1995,17.048,39.5,37.9,10.174418604651159,16.5,18.705035971223015,17.5,13.4,25.233644859813097,5.1,3.3,49.99999999999998,4.61,22.606382978723417,2.99,19.123505976095643,1.46,29.20353982300885,0.17,41.66666666666667,10048,20.566354691624667
Algeria,2000,23.9,33.1,40.4,6.596306068601576,20.5,24.242424242424242,20.1,15.6,16.417910447761198,6.5,4.2,27.272727272727295,5.35,16.052060737527096,3.42,14.381270903010023,1.72,17.808219178082197,0.21,23.529411764705866,11907,18.50119426751593
Algeria,2005,14.949,27.9,44.6,10.396039603960405,25.4,23.902439024390244,18.9,14.8,-5.128205128205121,8.7,5.6,33.33333333333333,5.84,9.158878504672895,3.75,9.649122807017552,1.81,5.232558139534893,0.29,38.095238095238095,14196,19.22398589065255
Algeria,2010,16.516,21.9,46.8,4.932735426008961,28.6,12.598425196850416,20.3,16.1,8.783783783783793,10.9,7.1,26.785714285714278,6.47,10.787671232876717,4.14,10.399999999999988,1.97,8.83977900552486,0.36,24.13793103448276,16952,19.413919413919412
Argentina,1980,-2.4599999999999995,4.7,65.3,-5.63583815028903,34.1,1.7910447761193993,22.2,14.8,26.49572649572651,7.7,4.6,17.948717948717952,7.17,7.657657657657646,5.58,4.104477611940283,1.35,21.62162162162162,0.25,31.578947368421062,12710,6.093489148580966
Argentina,1985,-6.239999999999999,4.6,59.9,-8.26952526799387,35.4,3.8123167155425186,25.1,17.0,14.864864864864868,10.3,5.4,17.391304347826097,7.74,7.949790794979084,5.82,4.3010752688172005,1.61,19.259259259259267,0.31,24.0,13545,6.5696302124311545
Argentina,1990,31.54,4.6,54.1,-9.682804674457424,34.5,-2.5423728813559254,27.8,19.5,14.705882352941169,13.5,6.1,12.962962962962955,8.29,7.105943152454763,6.0,3.092783505154628,1.9,18.012422360248426,0.39,25.806451612903224,14385,6.20155038759691
Argentina,1995,11.258000000000001,4.0,49.7,-8.13308687615526,34.6,0.28985507246377384,32.0,22.3,14.358974358974352,14.3,5.3,-13.114754098360649,8.7,4.945717732207489,6.19,3.166666666666673,2.12,11.578947368421066,0.39,0.0,15253,6.034063260340639
Argentina,2000,1.7739999999999991,3.2,45.5,-8.450704225352112,34.0,-1.7341040462427793,38.8,25.8,15.695067264573993,12.4,4.1,-22.64150943396227,9.0,3.4482758620689724,6.37,2.9079159935379684,2.3,8.490566037735835,0.33,-15.384615384615385,16360,7.2575886710811055
Argentina,2005,24.045,1.1,42.5,-6.593406593406592,33.6,-1.17647058823529,42.7,28.5,10.465116279069765,13.7,3.5,-14.634146341463406,9.49,5.444444444444452,6.61,3.767660910518056,2.53,10.000000000000009,0.34,3.0303030303030276,17955,9.749388753056243
Argentina,2010,14.995,0.8,38.5,-9.411764705882353,31.4,-6.547619047619058,48.3,33.5,17.543859649122815,12.3,2.7,-22.857142857142854,9.73,2.528977871443616,6.69,1.210287443267788,2.74,8.300395256917014,0.3,-11.764705882352954,19417,8.142578668894451
Australia,1980,12.956,0.9,6.9,-50.35971223021583,3.5,-52.054794520547944,69.7,51.5,14.190687361419062,22.5,14.6,8.955223880597018,11.0,6.796116504854366,5.84,1.5652173913043521,4.42,14.211886304909548,0.74,8.823529411764696,6978,10.551330798479096
Australia,1985,21.693,1.0,7.1,2.898550724637672,3.4,-2.857142857142858,66.1,52.1,1.1650485436893288,25.7,16.6,13.698630136986312,11.3,2.7272727272727337,5.82,-0.3424657534246478,4.63,4.751131221719462,0.85,14.864864864864868,7709,10.475781026081975
Australia,1990,11.883,1.1,7.9,11.267605633802823,3.7,8.823529411764719,63.2,52.9,1.5355086372360827,27.8,18.1,9.036144578313255,11.52,1.9469026548672552,5.81,-0.1718213058419349,4.79,3.455723542116629,0.92,8.235294117647074,8563,11.077960825009736
Australia,1995,20.609,1.1,8.2,3.7974683544303556,4.0,8.108108108108091,61.6,54.0,2.07939508506616,29.1,19.0,4.972375690607733,11.72,1.736111111111116,5.81,0.0,4.95,3.3402922755741082,0.96,4.347826086956519,9283,8.408268130328157
Australia,2000,17.043,0.9,8.7,6.0975609756097615,4.5,12.5,63.5,57.7,6.8518518518518645,26.9,17.6,-7.368421052631568,11.64,-0.6825938566552892,5.82,0.1721170395869276,4.93,-0.40404040404041774,0.89,-7.2916666666666625,10092,8.714855111494124
Australia,2005,14.48,0.7,7.7,-11.494252873563205,4.2,-6.666666666666665,59.0,54.8,-5.025996533795507,32.6,21.6,22.72727272727273,11.93,2.491408934707895,5.85,0.5154639175257714,4.99,1.217038539553772,1.08,21.34831460674158,10826,7.2730875941339646
Australia,2010,13.708,0.6,6.5,-15.58441558441559,3.7,-11.904761904761907,55.0,35.3,-35.58394160583942,37.9,25.2,16.66666666666665,11.86,-0.5867560771165126,5.88,0.512820512820511,4.72,-5.410821643286578,1.26,16.66666666666665,11521,6.419730278958058
Austria,1980,7.2589999999999995,0.1,43.7,-10.997963340122197,31.3,-8.74635568513119,52.6,32.7,19.343065693430674,3.6,2.3,9.523809523809511,7.85,2.213541666666674,4.03,-7.568807339449545,3.7,15.264797507788174,0.12,9.090909090909083,3597,0.13919821826280376
Austria,1985,11.113,0.1,39.2,-10.297482837528605,28.5,-8.94568690095847,56.1,36.6,11.926605504587151,4.7,3.0,30.434782608695656,8.02,2.165605095541401,3.78,-6.203473945409444,4.08,10.270270270270277,0.15,25.0,3825,6.338615512927448
Austria,1990,12.811,0.2,34.6,-11.734693877551027,25.7,-9.824561403508769,58.3,39.7,8.469945355191255,6.8,4.5,50.0,8.51,6.109725685785539,3.81,0.7936507936507908,4.47,9.558823529411754,0.23,53.33333333333334,4055,6.013071895424837
Austria,1995,14.297,0.7,30.0,-13.294797687861271,23.0,-10.505836575875483,59.8,42.2,6.297229219143574,9.5,6.2,37.77777777777778,8.98,5.52291421856641,3.83,0.5249343832020914,4.84,8.277404921700215,0.31,34.78260869565217,4398,8.458692971639948
Austria,2000,9.971,1.4,24.7,-17.666666666666664,19.1,-16.956521739130427,60.6,44.7,5.924170616113744,13.4,8.8,41.93548387096775,9.56,6.458797327394206,3.83,0.0,5.28,9.090909090909104,0.44,41.93548387096775,4546,3.3651659845384208
Austria,2005,7.12,1.9,19.2,-22.267206477732792,14.9,-21.98952879581152,61.1,47.1,5.369127516778516,17.7,11.7,32.95454545454544,10.17,6.380753138075312,3.84,0.26109660574411553,5.75,8.901515151515138,0.59,34.09090909090908,4579,0.7259128904531398
Austria,2010,6.127,1.9,16.2,-15.625,12.6,-15.436241610738255,62.6,49.3,4.670912951167727,19.3,12.8,9.401709401709413,10.51,3.34316617502457,3.85,0.26041666666667407,6.02,4.695652173913034,0.64,8.47457627118644,4606,0.5896483948460318
Barbados,1980,1.6710000000000003,0.5,57.3,34.823529411764696,21.0,36.36363636363635,38.4,11.5,-27.672955974842772,3.9,2.5,66.66666666666667,6.75,-9.87983978638185,4.89,-5.048543689320406,1.73,-23.45132743362831,0.13,62.5,95,3.2608695652173836
Barbados,1985,15.899999999999999,0.4,38.0,-33.682373472949386,13.9,-33.80952380952381,57.2,16.9,46.95652173913043,4.4,2.8,11.99999999999999,7.88,16.740740740740744,5.25,7.361963190184051,2.48,43.35260115606936,0.14,7.692307692307709,102,7.36842105263158
Barbados,1990,-10.1,0.7,26.4,-30.526315789473692,9.7,-30.215827338129507,68.7,20.3,20.118343195266284,4.2,2.7,-3.5714285714285587,8.51,7.994923857868019,5.46,4.0000000000000036,2.92,17.741935483870975,0.14,0.0,115,12.745098039215685
Barbados,1995,14.795000000000002,0.4,18.2,-31.060606060606055,7.1,-26.8041237113402,78.5,23.2,14.28571428571428,3.0,2.0,-25.92592592592593,8.98,5.52291421856641,5.65,3.4798534798534897,3.23,10.616438356164393,0.1,-28.57142857142857,127,10.43478260869566
